StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q11,Q9,Q10,Q12,Q28,Q13,Q15,Q19,Q18,Q16,Q20_1,Q17,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Prolific ID?,What is the highest level of school you have completed or the highest degree you have received?,Are you employed?,What is your annual household income?,What is your political party identification?,Do you consider yourself religious? If so what religion?,Do you have computer science or programming experience?,"Artificial Intelligence (AI) refers to computer systems that performs tasks or make decisions that normally require human intelligence. AI can perform these tasks or make these decisions without explicit human instructions. 

How much have you heard or read about AI before?",How often do you use the Internet?,How often do you actually interact with AI?,Today AI has been used in the following applications:Translate over 100 different languagesPredict o,Please tell me the extent to which you agree or disagree with the following statements - AI will have a positive impact on  society in the next 10 years,"Overall, would you say the increased use of AI in daily life makes you feel...","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Saves time and is more efficient","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - It is inevitable progress for the future","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Handles mundane tasks","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Helps with work/labor","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Ai is interesting and exciting","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Makes life and society better","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Helps humans with difficult and dangerous tasks","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Surveillance, hacking, digital privacy concerns","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - AI fails and makes mistakes","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Lack of human connection and qualities","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - People misusing AI/Don't trust AI or the people using it","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - AI becomes too powerful, outsmarting people","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Loss of human jobs","Do you think it is possible or not possible for people to design AI computer programs that can consistently make fair decisions in complex situations (e.g., who gets a job interview or who gets arrested and how much time they ultimately serve for a crime?)","Thinking about customer service, which of the following uses artificial intelligence (AI)?","When playing music, which of the following uses artificial intelligence (AI)?","Thinking about online shopping such as Amazon, which of the following uses artificial intelligence (AI)?","Thinking about health products, which of the following uses artificial intelligence (AI)?","When using your phone, which of the following uses artificial intelligence (AI)?","When using email, which of the following uses artificial intelligence (AI)?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID28""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID29_7""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID31""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}"
2023-06-25 09:22:25,2023-06-25 09:26:36,Survey Preview,,100,250,True,2023-06-25 09:26:37,R_2QZ0XMZDLSU4Ijh,,,,,34.0264,-117.936,preview,EN,,Graduated from a four-year college,Employed (full or part-time),Prefer not to say,Democratic/Lean Democratic,,Yes,A little,Almost constantly,Several times a week,Strongly support,Tend to agree,More excited than concerned,,,,,,,,,,,,,,,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-06-25 11:37:21,2023-06-25 11:41:02,Survey Preview,,100,221,True,2023-06-25 11:41:04,R_2VOA3baixOI9azO,,,,,41.85,-87.7165,preview,EN,,Graduated from a four-year college,Employed (full or part-time),Prefer not to say,Democratic/Lean Democratic,Muslim,Yes,A lot,Almost constantly,Almost constantly,Strongly support,Totally agree,More excited than concerned,5,7,1,2,3,6,4,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service allowing the user to schedule an email at a specific time
2023-06-25 14:23:46,2023-06-25 14:23:53,Survey Preview,,100,7,True,2023-06-25 14:23:54,R_9uxdOepQ94ODgQ1,,,,,43.0725,-89.4491,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-25 14:27:34,2023-06-25 14:28:25,Survey Preview,,100,51,True,2023-06-25 14:28:26,R_emV9TgxLgNReynD,,,,,43.0725,-89.4491,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-25 14:35:17,2023-06-25 14:46:18,Survey Preview,,100,661,True,2023-06-25 14:46:19,R_yBChtKJtzUugLlf,,,,,43.0725,-89.4491,preview,EN,,Graduated from a four-year college,Employed (full or part-time),"Less than $30,000",Democratic/Lean Democratic,Muslim,Yes,A lot,Almost constantly,Several times a day,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-06-27 14:25:17,2023-06-27 14:31:22,Survey Preview,,100,365,True,2023-06-27 14:31:25,R_1pPXj8fFW9hbDsT,,,,,43.0812,-89.3845,preview,EN,,Graduated from a four-year college,Not employed,Prefer not to say,Independents/Others,Muslim,No,A lot,Almost constantly,About once a day,Neither support or oppose,Neither agree or disagree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",Not sure
2023-06-27 16:06:43,2023-06-27 16:12:45,Survey Preview,,100,361,True,2023-06-27 16:12:46,R_1dEJebf6qqUnqMH,,,,,43.0725,-89.4491,preview,EN,,Graduated from a four-year college,Not employed,"$70,000 - $100,000",Independents/Others,Muslim,Yes,A lot,Almost constantly,Several times a week,Strongly support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:03:35,2023-07-02 15:06:58,IP Address,162.198.236.108,100,203,True,2023-07-02 15:06:59,R_1g7QFMEnBREtCvz,,,,,42.7239,-83.4232,anonymous,EN,64a18ed19fe33dcb7f86bd18,Graduated from a four-year college,Not employed,"More than $100,000",Democratic/Lean Democratic,Christianity,Yes,A little,Several times a day,About once a day,Somewhat support,Tend to agree,More excited than concerned,1,5,3,6,2,7,4,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
