StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Age,Sex,Race,Q11,Q9,Q10,Q12,Q28,Q13,Q15,Q19,Q18,Q16,Q20_1,Q17,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q21,Q22,Q23,Q24,Q25,Q26
7/2/2023 15:03,7/2/2023 15:06,IP Address,162.198.236.108,100,203,TRUE,7/2/2023 15:06,R_1g7QFMEnBREtCvz,,,,,42.7239,-83.4232,anonymous,EN,64a18ed19fe33dcb7f86bd18,62,Female,White,Graduated from a four-year college,Not employed,"More than $100,000",Democratic/Lean Democratic,Christianity,Yes,2,3,3,4,4,3,1,5,3,6,2,7,4,,,,,,,3,1,1,1,1,1,1
7/2/2023 15:14,7/2/2023 15:20,IP Address,174.26.10.164,100,354,TRUE,7/2/2023 15:20,R_1DzMvc6tb5m0SGz,,,,,33.4683,-112.0549,anonymous,EN,636198b2cfdd80506b1c97a4,47,Male,White,Less than a high school diploma,Not employed,"Less than $30,000",Republican/Lean Republican,Not religious,No,2,4,2,2,2,2,,,,,,,,,,,,,,2,1,1,1,0,1,0
7/2/2023 15:19,7/2/2023 15:22,IP Address,67.181.180.211,100,150,TRUE,7/2/2023 15:22,R_agTs9RG3pqwNyFj,,,,,36.3287,-119.6474,anonymous,EN,6323709c1a757febe9fae00c,21,Male,Mixed,"High school degree or equivalent (e.g., GED)",Employed (full or part-time),"$30,000 - $70,000",Independents/Others,Christianity,No,2,4,5,4,4,1,,,,,,,,,,,,,,3,1,1,1,1,1,0
7/2/2023 15:20,7/2/2023 15:23,IP Address,65.29.80.185,100,137,TRUE,7/2/2023 15:23,R_3OizcfGnqT1zfwY,,,,,39.7862,-84.1622,anonymous,EN,5eebe4e6e61002183aec9b70,26,Male,White,Some college (including two-year college),Not employed,"Less than $30,000",Independents/Others,Not religious,Yes,3,4,1,4,4,1,,,,,,,,,,,,,,1,1,1,1,1,1,1
7/2/2023 15:20,7/2/2023 15:24,IP Address,24.112.55.163,100,254,TRUE,7/2/2023 15:24,R_QmpbWY3BsAXhh4t,,,,,30.1713,-93.2244,anonymous,EN,5b2f9fe6532e3d00018e0486,33,Female,Black,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,2,4,2,2,2,2,,,,,,,,1,2,6,3,4,5,2,1,1,1,1,1,1
7/2/2023 15:31,7/2/2023 15:33,IP Address,141.126.148.84,100,147,TRUE,7/2/2023 15:33,R_tGa7fberHzGNENb,,,,,43.7746,-88.4376,anonymous,EN,5dc592c6aa431440aa755d5b,24,Female,Mixed,Some college (including two-year college),Not employed,"$30,000 - $70,000",Independents/Others,Christianity,No,3,4,1,4,5,1,,,,,,,,,,,,,,1,1,1,1,1,1,1
7/2/2023 15:28,7/2/2023 15:34,IP Address,172.58.149.210,100,347,TRUE,7/2/2023 15:34,R_RR1hGxWKQlynXUZ,,,,,36.0711,-86.7196,anonymous,EN,63ed54482e9ba99966362024,37,Female,Black,Graduated from a four-year college,Employed (full or part-time),"$30,000 - $70,000",Independents/Others,Not religious,No,3,3,2,3,4,1,,,,,,,,,,,,,,3,1,1,1,1,1,0
7/2/2023 15:31,7/2/2023 15:35,IP Address,174.196.130.86,100,233,TRUE,7/2/2023 15:35,R_1DC05Mf3UdIddIr,,,,,38.8263,-77.2111,anonymous,EN,63d44965adfa596dab33adc3,31,Male ,White,Graduated from a four-year college,Employed (full or part-time),"$70,000 - $100,000",Republican/Lean Republican,Christianity,No,2,3,1,4,3,3,2,4,3,6,5,7,1,,,,,,,1,1,1,1,0,1,1
7/2/2023 15:22,7/2/2023 15:35,IP Address,104.229.81.227,100,801,TRUE,7/2/2023 15:35,R_1P5GVAE2iVh8KdO,,,,,43.4394,-76.4613,anonymous,EN,5f4c10bcd1c491820b2763f2,35,Male,Mixed,Graduated from a four-year college,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Prefer not to say,No,3,4,0,2,2,2,,,,,,,,1,4,5,3,6,2,2,1,1,1,1,1,1
7/2/2023 15:29,7/2/2023 15:37,IP Address,70.93.39.198,100,479,TRUE,7/2/2023 15:37,R_2fE7XC7qnWgqkP7,,,,,32.4867,-114.7827,anonymous,EN,5e8b3fcb0312bf7fbff660b3,21,Male,White,"High school degree or equivalent (e.g., GED)",Not employed,Prefer not to say,Republican/Lean Republican,Christianity,Yes,3,4,2,4,4,3,3,7,4,2,1,5,6,,,,,,,3,1,1,1,1,1,1
