Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64a1e6137e799db72c232233,64a18ed19fe33dcb7f86bd18,APPROVED,2023-07-02T21:03:30.827000Z,2023-07-02T21:07:09.061000Z,2023-07-02T21:07:09.608000,2023-07-02T21:07:09.539281Z,219,CGBAT70K,0,62,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64a1e8ac2c3c8d3ad0fae5ac,636198b2cfdd80506b1c97a4,APPROVED,2023-07-02T21:14:25.647000Z,2023-07-02T21:20:31.583000Z,2023-07-02T21:20:32.191000,2023-07-02T21:20:32.110146Z,366,CGBAT70K,188,47,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64a1e9ed32e81c0a4eaa68f0,6323709c1a757febe9fae00c,APPROVED,2023-07-02T21:19:45.415000Z,2023-07-02T21:22:23.935000Z,2023-07-02T21:22:24.456000,2023-07-02T21:22:24.395344Z,159,CGBAT70K,316,21,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64a1ea161a9f0cf058cd8b6e,5b2f9fe6532e3d00018e0486,APPROVED,2023-07-02T21:20:28.530000Z,2023-07-02T21:25:09.344000Z,2023-07-02T21:25:10.281000,2023-07-02T21:25:10.212318Z,281,CGBAT70K,451,33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64a1ea2863d6fbbb29aa68dc,5eebe4e6e61002183aec9b70,APPROVED,2023-07-02T21:20:42.472000Z,2023-07-02T21:23:07.838000Z,2023-07-02T21:23:08.667000,2023-07-02T21:23:08.578064Z,146,CGBAT70K,1564,26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64a1ea2c8d819bdc4bf693e0,5f4c10bcd1c491820b2763f2,APPROVED,2023-07-02T21:22:00.282000Z,2023-07-02T21:35:43.714000Z,2023-07-02T21:35:44.287000,2023-07-02T21:35:44.227281Z,824,CGBAT70K,283,35,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64a1ec0fc95c71feeab7903b,63ed54482e9ba99966362024,APPROVED,2023-07-02T21:28:52.827000Z,2023-07-02T21:35:01.264000Z,2023-07-02T21:35:01.851000,2023-07-02T21:35:01.799502Z,369,CGBAT70K,4,37,Female,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64a1ec1b75c52d88d8a687b6,5e8b3fcb0312bf7fbff660b3,APPROVED,2023-07-02T21:29:03.976000Z,2023-07-02T21:37:13.993000Z,2023-07-02T21:37:14.644000,2023-07-02T21:37:14.570529Z,491,CGBAT70K,212,21,Male,White,United States,United States,United States,English,Yes,Other
64a1ec8d92da164eb1060e09,5dc592c6aa431440aa755d5b,APPROVED,2023-07-02T21:30:56.422000Z,2023-07-02T21:33:37.786000Z,2023-07-02T21:33:38.553000,2023-07-02T21:33:38.462358Z,162,CGBAT70K,3209,24,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64a1eca160685095b95cf6d2,63d44965adfa596dab33adc3,APPROVED,2023-07-02T21:31:16.040000Z,2023-07-02T21:35:20.710000Z,2023-07-02T21:35:21.331000,2023-07-02T21:35:21.250806Z,245,CGBAT70K,695,31,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
